错误码,错误名称,说明,描述,错误信息,解决步骤
0,ErrSucc,正常,正常,-,正常
21,ErrNotPlugged,1块或多块算力板未检测到,算力板PLUG信号未检测到,已检测到的算力板编号，若有多个以空格分隔,"1.检查SPI排线连接是否正常（与正常机器对比），重新插拔排线
2.更换控制板
3.更换有问题的算力板（拼板返修）"
22,ErrPsuI2cFail,电源通信异常,电源I2C通信异常,-,"1.更换电源
2.更换控制板"
23,ErrEncoreAllFail,所有算力板无法上电,所有算力板SPI不通,-,"1.检查电源端子两端螺丝及SPI排线连接是否有松动
2.更换电源
3.更换控制板
4.整机返修"
24,ErrEncoreFail,部分算力板无法上电,部分算力板SPI不通,SPI通信失败的算力板编号，若有多个以空格分隔,"1.检查电源端子两端螺丝及SPI排线连接是否有松动
2.更换电源
3.更换控制板
4.更换有问题的算力板（拼板返修）"
25,ErrSetPllFail,算力板升频失败,算力板升频失败,算力板编号: 出错的频率点,"1.检查电源端子两端螺丝及SPI排线连接是否有松动
2.更换电源
3.更换控制板
4.更换有问题的算力板（拼板返修）"
26,ErrSetVolFail,设置电压失败,设置电压失败,算力板编号: 1/2,"1.检查电源端子两端螺丝及SPI排线连接是否有松动
2.更换电源
3.更换控制板
4.更换有问题的算力板（拼板）"
27,ErrBistFail,芯片BIST测试失败,芯片BIST测试失败,算力板编号: 1/2,"1.检查电源端子两端螺丝及SPI排线连接是否有松动
2.更换有问题的算力板（拼板）"
28,ErrSpiFail,运行时算力板通信异常无法自动恢复,运行时算力板SPI通信异常无法自动恢复,算力板编号,"1.检查电源端子两端螺丝及SPI排线连接是否有松动
2.更换有问题的算力板（拼板返修）"
29,ErrI2cFail,运行时电源通信异常无法自动恢复,运行时电源I2C通信异常无法自动恢复,-,"1.更换电源
2.更换控制板"
30,ErrNetwork,与矿池连接中断,与矿池连接中断,-,"若同一交换机下大量或全部矿机出现该问题：
1.检查矿池设置是否正确
2.检查网络环境配置（如DHCP配置、DNS配置、端口等）
若只有一台或少量矿机出现问题：
1.检查矿池设置是否正确
2.检查矿机网口连接是否紧密
3.与正常工作的矿机交换网线
4.更换控制板"
31,ErrBadChip,个别芯片损坏，导致整机算力虚高,个别芯片损坏，导致整机算力虚高,损坏的芯片编号:算力板编号，若有多个以空格分隔,可不处理
32,ErrOverheat,算力板过温,算力板过温,算力板编号,"1.检查前后风扇是否转动，若不转动先更换风扇，不行再更换控制板/电源
2.检查前后风向是否一致，是否和其他机器一致，若不一致调换风扇朝向
3.测矿机进风口温度，若超过40度，须改善矿场温度环境
4.如果是某个算力板频繁过温，可更换有问题的算力板（拼板返修）"
33,ErrInvTemp,无法读取芯片温度,无法读取芯片温度,算力板编号,"1.检查电源端子两端螺丝及SPI排线连接是否有松动
2.更换电源
3.更换控制板
4.更换有问题的算力板（拼板返修）"
34,ErrMisPlugged,控制板通信排线连接不正确,控制板SPI排线连接异常,算力板编号,"1.检查算力板SPI排线连接方式（顺序）是否和其他同型号机器一致
2.更换控制板"
35,ErrPsuFail,电源供电异常,电源供电异常,,"1.观察整机算力如果没有明显异常（不掉板），则不需要处理
2.检查电源端子两端螺丝及SPI排线连接是否有松动
3.更换电源"
36,ErrInvCorenum,部分芯片工作不正常,芯片好核个数异常,算力板编号: 芯片编号,"1.观察整机算力如果没有明显异常（不掉板），则不需要处理
2.重启矿机看是否仍然报相同的错误
3.更换有问题的算力板（拼板返修）"
37,ErrInvVidtype,控制板类型/固件版本/芯片个数不匹配,控制板类型/固件版本/芯片个数不匹配,"vidtype,minertype,subtype,chipnum","累计多台(>10)后,联系软件研发一次性解决"
38,ErrBadRearChips,最后若干芯片低算力,最后几级芯片低算力,,暂不需要处理
39,ErrInvTuneParam,老化参数异常,老化初始频率电压不正确,,暂不需要处理
,,,,,
,,,,,"注：
1.每执行一个解决步骤需要重新上电确认是否恢复正常
2.更换每个部件之后如果问题没有解决，换下的部件应装回原来的机器
3.确定返修的算力板都要求贴上错误码及简单问题描述"
